----------------------------------------------
fp32-fp32-batch1_deit_small_distilled_patch16_224
----------------------------------------------
Processing 145 / 50000 : Top-1 82.8% , Top-5: 96.6%     
Processing 146 / 50000 : Top-1 82.9% , Top-5: 96.6%     
Processing 147 / 50000 : Top-1 83.0% , Top-5: 96.6%     
Processing 148 / 50000 : Top-1 83.1% , Top-5: 96.6%     
Processing 149 / 50000 : Top-1 83.2% , Top-5: 96.6%     
Processing 150 / 50000 : Top-1 82.7% , Top-5: 96.7%     
Processing 151 / 50000 : Top-1 82.1% , Top-5: 96.7%     
Processing 152 / 50000 : Top-1 82.2% , Top-5: 96.7%     
Processing 153 / 50000 : Top-1 82.4% , Top-5: 96.7%     
Processing 154 / 50000 : Top-1 82.5% , Top-5: 96.8%     
Processing 155 / 50000 : Top-1 82.6% , Top-5: 96.8%     
Processing 156 / 50000 : Top-1 82.1% , Top-5: 96.2%     
Processing 157 / 50000 : Top-1 82.2% , Top-5: 96.2%     
Processing 158 / 50000 : Top-1 82.3% , Top-5: 96.2%     
Processing 159 / 50000 : Top-1 81.8% , Top-5: 95.6%     
Processing 160 / 50000 : Top-1 81.9% , Top-5: 95.6%     
Processing 161 / 50000 : Top-1 81.4% , Top-5: 95.0%     
Processing 162 / 50000 : Top-1 80.9% , Top-5: 95.1%     
Processing 163 / 50000 : Top-1 81.0% , Top-5: 95.1%     
Processing 164 / 50000 : Top-1 81.1% , Top-5: 95.1%     
Processing 165 / 50000 : Top-1 81.2% , Top-5: 95.2%     
Processing 166 / 50000 : Top-1 81.3% , Top-5: 95.2%     
Processing 167 / 50000 : Top-1 81.4% , Top-5: 95.2%     
Processing 168 / 50000 : Top-1 81.5% , Top-5: 95.2%     
Processing 169 / 50000 : Top-1 81.7% , Top-5: 95.3%     
Processing 170 / 50000 : Top-1 81.8% , Top-5: 95.3%     
Processing 171 / 50000 : Top-1 81.9% , Top-5: 95.3%     
Processing 172 / 50000 : Top-1 82.0% , Top-5: 95.3%     
Processing 173 / 50000 : Top-1 82.1% , Top-5: 95.4%     
Processing 174 / 50000 : Top-1 82.2% , Top-5: 95.4%     
Processing 175 / 50000 : Top-1 82.3% , Top-5: 95.4%     
Processing 176 / 50000 : Top-1 81.8% , Top-5: 95.5%     
Processing 177 / 50000 : Top-1 81.9% , Top-5: 95.5%     
Processing 178 / 50000 : Top-1 81.5% , Top-5: 95.5%     
Processing 179 / 50000 : Top-1 81.6% , Top-5: 95.5%     
Processing 180 / 50000 : Top-1 81.1% , Top-5: 95.6%     
Processing 181 / 50000 : Top-1 81.2% , Top-5: 95.6%     
Processing 182 / 50000 : Top-1 80.8% , Top-5: 95.6%     
Processing 183 / 50000 : Top-1 80.9% , Top-5: 95.6%     
Processing 184 / 50000 : Top-1 80.4% , Top-5: 95.7%     
Processing 185 / 50000 : Top-1 80.0% , Top-5: 95.7%     
Processing 186 / 50000 : Top-1 80.1% , Top-5: 95.7%     
Processing 187 / 50000 : Top-1 80.2% , Top-5: 95.7%     
Processing 188 / 50000 : Top-1 80.3% , Top-5: 95.7%     
Processing 189 / 50000 : Top-1 80.4% , Top-5: 95.8%     
Processing 190 / 50000 : Top-1 80.5% , Top-5: 95.8%     
Processing 191 / 50000 : Top-1 80.1% , Top-5: 95.8%     
Processing 192 / 50000 : Top-1 80.2% , Top-5: 95.8%     
Processing 193 / 50000 : Top-1 80.3% , Top-5: 95.9%     
Processing 194 / 50000 : Top-1 80.4% , Top-5: 95.9%     
Processing 195 / 50000 : Top-1 80.5% , Top-5: 95.9%     
Processing 196 / 50000 : Top-1 80.6% , Top-5: 95.9%     
Processing 197 / 50000 : Top-1 80.7% , Top-5: 95.9%     
Processing 198 / 50000 : Top-1 80.8% , Top-5: 96.0%     
Processing 199 / 50000 : Top-1 80.9% , Top-5: 96.0%     
Processing 200 / 50000 : Top-1 81.0% , Top-5: 96.0%     
Processing 201 / 50000 : Top-1 81.1% , Top-5: 96.0%     
Processing 202 / 50000 : Top-1 81.2% , Top-5: 96.0%     
Processing 203 / 50000 : Top-1 81.3% , Top-5: 96.1%     
Processing 204 / 50000 : Top-1 80.9% , Top-5: 96.1%     
Processing 205 / 50000 : Top-1 80.5% , Top-5: 96.1%     
Processing 206 / 50000 : Top-1 80.6% , Top-5: 96.1%     
Processing 207 / 50000 : Top-1 80.7% , Top-5: 96.1%     
Processing 208 / 50000 : Top-1 80.8% , Top-5: 96.2%     
Processing 209 / 50000 : Top-1 80.9% , Top-5: 96.2%     
Processing 210 / 50000 : Top-1 80.5% , Top-5: 96.2%     
Processing 211 / 50000 : Top-1 80.6% , Top-5: 96.2%     
Processing 212 / 50000 : Top-1 80.7% , Top-5: 96.2%     
Processing 213 / 50000 : Top-1 80.8% , Top-5: 96.2%     
Processing 214 / 50000 : Top-1 80.4% , Top-5: 96.3%     
Processing 215 / 50000 : Top-1 80.5% , Top-5: 96.3%     
Processing 216 / 50000 : Top-1 80.6% , Top-5: 96.3%     
Processing 217 / 50000 : Top-1 80.6% , Top-5: 96.3%     
Processing 218 / 50000 : Top-1 80.7% , Top-5: 96.3%     
Processing 219 / 50000 : Top-1 80.8% , Top-5: 96.3%     
Processing 220 / 50000 : Top-1 80.9% , Top-5: 96.4%     
Processing 221 / 50000 : Top-1 81.0% , Top-5: 96.4%     
Processing 222 / 50000 : Top-1 81.1% , Top-5: 96.4%     
Processing 223 / 50000 : Top-1 81.2% , Top-5: 96.4%     
Processing 224 / 50000 : Top-1 80.8% , Top-5: 96.4%     
Processing 225 / 50000 : Top-1 80.9% , Top-5: 96.4%     
Processing 226 / 50000 : Top-1 80.5% , Top-5: 96.5%     
Processing 227 / 50000 : Top-1 80.6% , Top-5: 96.5%     
Processing 228 / 50000 : Top-1 80.7% , Top-5: 96.5%     
Processing 229 / 50000 : Top-1 80.8% , Top-5: 96.5%     
Processing 230 / 50000 : Top-1 80.9% , Top-5: 96.5%     
Processing 231 / 50000 : Top-1 81.0% , Top-5: 96.5%     
Processing 232 / 50000 : Top-1 80.6% , Top-5: 96.1%     
